Name,PersonID,Team,HeadshotURL
Franz Wagner,1630532,Orlando Magic,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png
Moritz Wagner,1629021,Orlando Magic,https://cdn.nba.com/headshots/nba/latest/1040x760/1629021.png
Jabari Walker,1631133,Philadelphia 76ers,https://cdn.nba.com/headshots/nba/latest/1040x760/1631133.png
Jarace Walker,1641716,Indiana Pacers,https://cdn.nba.com/headshots/nba/latest/1040x760/1641716.png
Cason Wallace,1641717,Oklahoma City Thunder,https://cdn.nba.com/headshots/nba/latest/1040x760/1641717.png
Keaton Wallace,1630811,Atlanta Hawks,https://cdn.nba.com/headshots/nba/latest/1040x760/1630811.png
Jordan Walsh,1641775,Boston Celtics,https://cdn.nba.com/headshots/nba/latest/1040x760/1641775.png
Ja'Kobe Walter,1642266,Toronto Raptors,https://cdn.nba.com/headshots/nba/latest/1040x760/1642266.png
Kel'el Ware,1642276,Miami Heat,https://cdn.nba.com/headshots/nba/latest/1040x760/1642276.png
P.J. Washington,1629023,Dallas Mavericks,https://cdn.nba.com/headshots/nba/latest/1040x760/1629023.png
TyTy Washington Jr.,1631102,LA Clippers,https://cdn.nba.com/headshots/nba/latest/1040x760/1631102.png
Lindy Waters III,1630322,San Antonio Spurs,https://cdn.nba.com/headshots/nba/latest/1040x760/1630322.png
Trendon Watford,1630570,Philadelphia 76ers,https://cdn.nba.com/headshots/nba/latest/1040x760/1630570.png
Jamir Watkins,1642364,Washington Wizards,https://cdn.nba.com/headshots/nba/latest/1040x760/1642364.png
Peyton Watson,1631212,Denver Nuggets,https://cdn.nba.com/headshots/nba/latest/1040x760/1631212.png
Jaylen Wells,1642377,Memphis Grizzlies,https://cdn.nba.com/headshots/nba/latest/1040x760/1642377.png
Victor Wembanyama,1641705,San Antonio Spurs,https://cdn.nba.com/headshots/nba/latest/1040x760/1641705.png
Blake Wesley,1631104,Portland Trail Blazers,https://cdn.nba.com/headshots/nba/latest/1040x760/1631104.png
Russell Westbrook,201566,Sacramento Kings,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png
Coby White,1629632,Chicago Bulls,https://cdn.nba.com/headshots/nba/latest/1040x760/1629632.png
Derrick White,1628401,Boston Celtics,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png
Cam Whitmore,1641715,Washington Wizards,https://cdn.nba.com/headshots/nba/latest/1040x760/1641715.png
Aaron Wiggins,1630598,Oklahoma City Thunder,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png
Andrew Wiggins,203952,Miami Heat,https://cdn.nba.com/headshots/nba/latest/1040x760/203952.png
Amari Williams,1642873,Boston Celtics,https://cdn.nba.com/headshots/nba/latest/1040x760/1642873.png
Brandon Williams,1630314,Dallas Mavericks,https://cdn.nba.com/headshots/nba/latest/1040x760/1630314.png
Cody Williams,1642262,Utah Jazz,https://cdn.nba.com/headshots/nba/latest/1040x760/1642262.png
Grant Williams,1629684,Charlotte Hornets,https://cdn.nba.com/headshots/nba/latest/1040x760/1629684.png
